"species_code","species_orig","species","comm_name","major_group","isscaap","genus_food_name","calcium_mg","calories_kcal","carbohydrates_g","copper_mg","dietary_fiber_g","fat_g","folate_mcg","iron_mg","magnesium_mg","monounsaturated_fatty_acids_g","niacin_mg","phosphorus_mg","polyunsaturated_fatty_acids_g","potassium_mg","protein_g","riboflavin_mg","saturated_fatty_acids_g","sodium_mg","thiamin_mg","vitamin_a_mcg_rae","vitamin_b6_mg","vitamin_c_mg","zinc_mg"
"NRC","Normanichthys crockeri","Normanichthys crockeri","Mote sculpin","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"ODR","Odontesthes regia","Odontesthes regia","Chilean silverside","Pisces","Miscellaneous pelagic fishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"OIJ","Onykia ingens","Onykia ingens","Greater hooked squid","Mollusca","Squids, cuttlefishes, octopuses","Cephalopods",35.5,76.75,0.6,0.511,0,0.8,16,1.75,30,0.1,1.5,163,0.3,260,15.49,0.06,0.3,230,0.02,28.5,0.15,2.75,1.68
"OWX","Ophichthidae","Ophichthidae","Snake eels nei","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"OCH","Ostrea chilensis","Ostrea chilensis","Chilean flat oyster","Mollusca","Oysters","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"JPC","Pinguipes chilensis","Pinguipes chilensis","Chilean sandperch","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"PQG","Pleuroncodes monodon","Pleuroncodes monodon","Carrot squat lobster","Crustacea","King crabs, squat-lobsters","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"WHA","Polyprion oxygeneios","Polyprion oxygeneios","Hapuku wreckfish","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"PJH","Projasus bahamondei","Projasus bahamondei","Chilean jagged lobster","Crustacea","Lobsters, spiny-rock lobsters","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"ROJ","Prolatilus jugularis","Prolatilus jugularis","Pacific sandperch","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"TCL","Protothaca thaca","Leukoma thaca","Taca clam","Mollusca","Clams, cockles, arkshells","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"CHP","Sardinops sagax","Sardinops sagax","South American pilchard","Pisces","Herrings, sardines, anchovies","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"SAU","Scomberesox saurus","Scomberesox saurus","Atlantic saury","Pisces","Miscellaneous pelagic fishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"TUW","Semele solida","Semele solida","Chilean semele","Mollusca","Clams, cockles, arkshells","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"CKI","Strangomera bentincki","Strangomera bentincki","Araucanian herring","Pisces","Herrings, sardines, anchovies","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"TWG","Tawera gayi","Tawera gayi","Gay's little venus","Mollusca","Clams, cockles, arkshells","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"AKS","Acetes japonicus","Acetes japonicus","Akiami paste shrimp","Crustacea","Shrimps, prawns","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"PAS","Ammodytes personatus","Ammodytes personatus","Pacific sandlance","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"FLF","Cantherhines (=Navodon) spp","Cantherhines (=Navodon) spp","Filefishes nei","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"YBX","Charybdis spp","Charybdis spp","Charybdis crabs nei","Crustacea","Crabs, sea-spiders","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"SAP","Cololabis saira","Cololabis saira","Pacific saury","Pisces","Miscellaneous pelagic fishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"JAN","Engraulis japonicus","Engraulis japonicus","Japanese anchovy","Pisces","Herrings, sardines, anchovies","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"MFF","Eucinostomus melanopterus","Eucinostomus melanopterus","Flagfin mojarra","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"EIL","Ilisha elongata","Ilisha elongata","Elongate ilisha","Pisces","Shads","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"LYC","Larimichthys croceus","Larimichthys crocea","Large yellow croaker","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"CRY","Larimichthys polyactis","Larimichthys polyactis","Yellow croaker","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"SOY","Liza haematocheilus","Liza haematocheilus","So-iny (redlip) mullet","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"MVA","Lophius vaillanti","Lophius vaillanti","Shortspine African angler","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"MIH","Miichthys miiuy","Miichthys miiuy","Mi-iuy (brown) croaker","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"DPC","Muraenesox cinereus","Muraenesox cinereus","Daggertooth pike conger","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"ORD","Oreosomatidae","Oreosomatidae","Oreo dories nei","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"XPO","Pampus spp","Pampus spp","Silver pomfrets nei","Pisces","Miscellaneous pelagic fishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"FLP","Penaeus chinensis","Fenneropenaeus chinensis","Fleshy prawn","Crustacea","Shrimps, prawns","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"CRV","Pennahia argentata","Pennahia argentata","Silver croaker","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"GAZ","Portunus trituberculatus","Portunus trituberculatus","Gazami crab","Crustacea","Crabs, sea-spiders","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"EDR","Pseudopentaceros richardsoni","Pentaceros richardsoni","Pelagic armourhead","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"JAP","Sardinops melanostictus","Sardinops sagax","Japanese pilchard","Pisces","Herrings, sardines, anchovies","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"SQY","Squillidae","Squillidae","Squillids nei","Crustacea","Miscellaneous marine crustaceans","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"JJM","Trachurus japonicus","Trachurus japonicus","Japanese jack mackerel","Pisces","Miscellaneous pelagic fishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"TRV","Trachypenaeus curvirostris","Trachysalambria curvirostris","Southern rough shrimp","Crustacea","Shrimps, prawns","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"RAL","Dussumieria elopsoides","Dussumieria elopsoides","Slender rainbow sardine","Pisces","Herrings, sardines, anchovies","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"LBR","Gymnocranius spp","Gymnocranius spp","Largeeye breams","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"BUP","Psenopsis anomala","Psenopsis anomala","Pacific rudderfish","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"STO","Stolephorus spp","Stolephorus spp","Stolephorus anchovies nei","Pisces","Herrings, sardines, anchovies","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"PTH","Alopias pelagicus","Alopias pelagicus","Pelagic thresher","Pisces","Sharks, rays, chimaeras","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"CCE","Carcharhinus leucas","Carcharhinus leucas","Bull shark","Pisces","Sharks, rays, chimaeras","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"CCR","Carcharhinus porosus","Carcharhinus porosus","Smalltail shark","Pisces","Sharks, rays, chimaeras","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"VEP","Cetengraulis mysticetus","Cetengraulis mysticetus","Pacific anchoveta","Pisces","Herrings, sardines, anchovies","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"OYM","Crassostrea rhizophorae","Crassostrea rhizophorae","Mangrove cupped oyster","Mollusca","Oysters","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"RRU","Elagatis bipinnulata","Elagatis bipinnulata","Rainbow runner","Pisces","Miscellaneous pelagic fishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"GPS","Epinephelus analogus","Epinephelus analogus","Spotted grouper","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"GDJ","Gerreidae","Gerreidae","Mojarras, etc. nei","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"LOZ","Lobotes pacificus","Lobotes pacificus","Pacific tripletail","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"HUS","Lutjanus argentiventris","Lutjanus argentiventris","Yellow snapper","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"MRG","Merluccius angustimanus","Merluccius angustimanus","Panama hake","Pisces","Cods, hakes, haddocks","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"MUB","Mugil liza","Mugil liza","Lebranche mullet","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"GBS","Mycteroperca xenarcha","Mycteroperca xenarcha","Broomtail grouper","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"THP","Opisthonema libertate","Opisthonema libertate","Pacific thread herring","Pisces","Herrings, sardines, anchovies","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"NUG","Panulirus gracilis","Panulirus gracilis","Green spiny lobster","Crustacea","Lobsters, spiny-rock lobsters","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"WWP","Penaeus occidentalis","Litopenaeus occidentalis","Western white shrimp","Crustacea","Shrimps, prawns","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"RHL","Rhizoprionodon lalandii","Rhizoprionodon lalandii","Brazilian sharpnose shark","Pisces","Sharks, rays, chimaeras","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"RHR","Rhizoprionodon porosus","Rhizoprionodon porosus","Caribbean sharpnose shark","Pisces","Sharks, rays, chimaeras","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"SIE","Scomberomorus sierra","Scomberomorus sierra","Pacific sierra","Pisces","Tunas, bonitos, billfishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"LNP","Selene peruviana","Selene peruviana","Peruvian moonfish","Pisces","Miscellaneous pelagic fishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"SOK","Solenocera agassizii","Solenocera agassizii","Kolibri shrimp","Crustacea","Shrimps, prawns","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"YRE","Sphyraena ensis","Sphyraena ensis","Mexican barracuda","Pisces","Miscellaneous pelagic fishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"TIT","Xiphopenaeus riveti","Xiphopenaeus kroyeri","Pacific seabob","Crustacea","Shrimps, prawns","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"ARQ","Aphareus rutilans","Aphareus rutilans","Rusty jobfish","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"EFH","Epinephelus chlorostigma","Epinephelus chlorostigma","Brownspotted grouper","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"LTQ","Lethrinus mahsena","Lethrinus mahsena","Sky emperor","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"USY","Scarus ghobban","Scarus ghobban","Blue-barred parrotfish","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"VRL","Variola louti","Variola louti","Yellow-edged lyretail","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"BRD","Brotula barbata","Brotula barbata","Bearded brotula","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"SAE","Sardinella maderensis","Sardinella maderensis","Madeiran sardinella","Pisces","Herrings, sardines, anchovies","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"BOE","Allocyttus niger","Allocyttus niger","Black oreo","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"BBF","Barbourisia rufa","Barbourisia rufa","Velvet whalefish","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"BRT","Borostomias antarcticus","Borostomias antarcticus","Snaggletooth","Pisces","Miscellaneous demersal fishes","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"ARK","Arca spp","Arca spp","Ark clams nei","Mollusca","Clams, cockles, arkshells","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"CSP","Penaeus brevirostris","Farfantepenaeus brevirostris","Crystal shrimp","Crustacea","Shrimps, prawns","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"YPS","Penaeus californiensis","Farfantepenaeus californiensis","Yellowleg shrimp","Crustacea","Shrimps, prawns","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"LQL","Pleuroncodes planipes","Pleuroncodes planipes","Pelagic red crab","Crustacea","King crabs, squat-lobsters","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"BOS","Xiphopenaeus, Trachypenaeus spp","Xiphopenaeus, Trachypenaeus spp","Pacific seabobs","Crustacea","Shrimps, prawns","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"GPW","Epinephelus aeneus","Epinephelus aeneus","White grouper","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"RKQ","Arca noae","Arca noae","Noah's ark","Mollusca","Clams, cockles, arkshells","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"AMS","Artemia salina","Artemia salina","Brine shrimp","Crustacea","Miscellaneous marine crustaceans","Crustaceans",83,88,0.8,0.669,0,1.14,40.5,1.6,39,0.21,2.45,224,0.3,220,17.5,0.07,0.211,190,0.04,44,0.15,0,2.39
"AHH","Atherina hepsetus","Atherina hepsetus","Mediterranean sand smelt","Pisces","Miscellaneous pelagic fishes","Pelagic Fish",57.5,109,0,0.0575,0,3,8,1.225,32,1.182,4.1,221,1.06,331,19.4,0.11,1.18,80,0.06,27,0.4,0,0.66
"KLK","Callista chione","Callista chione","Smooth callista","Mollusca","Clams, cockles, arkshells","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"VSC","Chlamys varia","Mimachlamys varia","Variegated scallop","Mollusca","Scallops, pectens","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"DEP","Dentex gibbosus","Dentex gibbosus","Pink dentex","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"ANN","Diplodus annularis","Diplodus annularis","Annular seabream","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"SHR","Diplodus puntazzo","Diplodus puntazzo","Sharpsnout seabream","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"CTB","Diplodus vulgaris","Diplodus vulgaris","Common two-banded seabream","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"OCM","Eledone spp","Eledone spp","Horned and musky octopuses","Mollusca","Squids, cuttlefishes, octopuses","Cephalopods",35.5,76.75,0.6,0.511,0,0.8,16,1.75,30,0.1,1.5,163,0.3,260,15.49,0.06,0.3,230,0.02,28.5,0.15,2.75,1.68
"WRM","Labrus merula","Labrus merula","Brown wrasse","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"SQR","Loligo vulgaris","Loligo vulgaris","European squid","Mollusca","Squids, cuttlefishes, octopuses","Cephalopods",35.5,76.75,0.6,0.511,0,0.8,16,1.75,30,0.1,1.5,163,0.3,260,15.49,0.06,0.3,230,0.02,28.5,0.15,2.75,1.68
"MMH","Muraena helena","Muraena helena","Mediterranean moray","Pisces","Miscellaneous coastal fishes","Marine Fish; Other",49,99,0,0.0375,0,1.9,8,1,30,0.471,2.8,216,0.464,301.5,18.99,0.08,0.44,79,0.0485,24,0.3,0,0.59
"MUE","Murex spp","Murex spp","Murex","Mollusca","Abalones, winkles, conchs","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"SMD","Mustelus mustelus","Mustelus mustelus","Smooth-hound","Pisces","Sharks, rays, chimaeras","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"MYL","Myliobatis aquila","Myliobatis aquila","Common eagle ray","Pisces","Sharks, rays, chimaeras","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
"SJA","Pecten jacobaeus","Pecten jacobaeus","Great Mediterranean scallop","Mollusca","Scallops, pectens","Molluscs; Other",89.5,81.5,3.535,0.205,0,1.1,7,5.2,22,0.2165,1.68,162,0.409,175,12.06,0.145,0.3275,275.05,0.026,26.5,0.05,4,2.36
"FOX","Phycis spp","Phycis spp","Forkbeards nei","Pisces","Cods, hakes, haddocks","Demersal Fish",39,93,0,0.031,0,1.35,9,0.75,29,0.279,2.7,200,0.374,300,18.84,0.08,0.2715,79,0.05,19.5,0.287,0,0.51
