"","closestSp","predVal","lcl_predInt","ucl_predInt"
"Etheostoma_burri","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Etheostoma_microperca","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_fonticola","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_proeliare","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Etheostoma_cinereum","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Gymnocephalus_baloni","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Gymnocephalus_cernua","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Gymnocephalus_schraetser","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Sander_canadensis","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Sander_vitreus","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Zingel_streber","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Zingel_zingel","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Romanichthys_valsanicola","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Sander_lucioperca","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Sander_volgensis","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Perca_fluviatilis","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Perca_flavescens","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Perca_schrenkii","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Niphon_spinosus","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Echiichthys_vipera","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Trachinus_collignoni","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Trachinus_radiatus","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Trachinus_draco","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Centropristis_striata","Dissostichus_eleginoides",4.26492935150374,0.286513461121622,20.5462036846151
"Serranus_psittacinus","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Serranus_baldwini","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Serranus_scriba","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Serranus_atricauda","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
